created_utc	run_id	root	chain_head	prev_chain_head	stage_environment	stage_code	stage_prereg	stage_inputs	stage_data	stage_scores
2026-08-13T22:00:03+00:00	20260813-e5-tco-v3	804233c69f032d11a1b5d8e9a42b4a2f8d5df31b608b14abcb6d5478db4a8825	11d52848ec3f670c2c178029163ba54614d6fad111ace5c650c60f472a25168a	6acfe3bb50ee891248798ed76b3c98cad079014cb886feaa7f590cbb04ba567c	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	d113c689fa092f46ec0af9c424a0370432f2538016b8ab9ce1fd6c3f1dbaa076	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	be77e242855852ae316b86dad9e3de25b1b783d792245bc7588919e167b0399d	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	bd8360a64cadd1935ee7f320a0b1c281e776786bf71171d0b38647cf7a356616
2026-08-13T22:49:33+00:00	20260813-e7-figuras-tabelas	39b39eea9020dd56dee7c23a84de12c8790b0da7734c80ed8cec979495bcae1a	339c9ec77aa6373d26b94061fb561ae743f9efd3f9dc9dda7ea4947d520e3a5a	11d52848ec3f670c2c178029163ba54614d6fad111ace5c650c60f472a25168a	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	c621f28a31deded8bf7ef7ca599aefa067bd723403ff7f64c2881d0099428c71	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	d1f6f356609ef1289a289474039a17e1b11246013c5ddc31778e032d349f5a37	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	10dd6ce53820ba26669689344d888392a0124aeecbcce2a980cd69d076dcd701
2026-08-13T22:58:18+00:00	20260813-e7-figuras-tabelas-v2	cd73432c281ea0a04381b39bce4386b3d82488733733d2c8a32032381482ea62	0e2533188c4b39912917c273aab819055ca66c1f1ed2febcfcd88923a65812fc	339c9ec77aa6373d26b94061fb561ae743f9efd3f9dc9dda7ea4947d520e3a5a	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	5a39fb680a5ce37155896ba489e824ea25d3fcd7006e506a5f6a5fe9433d6d89	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	d1f6f356609ef1289a289474039a17e1b11246013c5ddc31778e032d349f5a37	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	10dd6ce53820ba26669689344d888392a0124aeecbcce2a980cd69d076dcd701
2026-08-14T13:24:17+00:00	20260813-e7-figuras-tabelas-v3	6b032f8d55c5e8380551856291f56756ece75a245b9393548748ba34292ef339	10763f300983d924bf7b64d8b4f8ba8d6f73246a22a13cec2b4093648d422031	0e2533188c4b39912917c273aab819055ca66c1f1ed2febcfcd88923a65812fc	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	2f396dad65a658ad31ffb5bef32408666421a98eb5096a0bb7138a698d33e114	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	ffec14fd905d998145513f0cdd06b7de1117879b3aa97ee484485faacea58652	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	10dd6ce53820ba26669689344d888392a0124aeecbcce2a980cd69d076dcd701
2026-08-14T13:30:23+00:00	20260813-e7-figuras-tabelas-v4	43356f68ab7855e0170c618cdfa53b51216a6c243a1879daf2fc1862188bc530	d83115650e3f13852647aa71812f2755cd266b1ed326c2c67a35ecc59aaea1a1	10763f300983d924bf7b64d8b4f8ba8d6f73246a22a13cec2b4093648d422031	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	6df3487542e5327d5472e8e9b0d8ee1c00aea0b96c5cd8521e07dfd5af314e52	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	ffec14fd905d998145513f0cdd06b7de1117879b3aa97ee484485faacea58652	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	10dd6ce53820ba26669689344d888392a0124aeecbcce2a980cd69d076dcd701
2026-08-14T13:58:41+00:00	20260814-gates-paper-v5	1c313025d5bc20ecbf0201eb3a9b3fa34ccf684627c72955a90081cd1109ea97	08ceff8df375a461b4b5c6121539532592778fc0588385e7dbc77e4e8e2f89a8	d83115650e3f13852647aa71812f2755cd266b1ed326c2c67a35ecc59aaea1a1	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	7a53509ad882c31637550188784339ba9eac99e984b8d65cf4d4937f5ace3bf8	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	ffec14fd905d998145513f0cdd06b7de1117879b3aa97ee484485faacea58652	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	10dd6ce53820ba26669689344d888392a0124aeecbcce2a980cd69d076dcd701
2026-08-14T14:56:13+00:00	20260814-gates-paper-v6	3a4772351af51c17396b540a2f134816544ed5a6248c456bfda1754541e65f1a	e74370328c9b0b5cc91fdc2654398633ae4e8fbed1544ead0867105d8935f014	08ceff8df375a461b4b5c6121539532592778fc0588385e7dbc77e4e8e2f89a8	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	dfde9cafc7db5daaed9bd797efb22304fe5ff46a74004a5f764bb7eeb9004d23	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	d322b1f4d258567c3f1dcc4efcc0470cc0ec678b3e9c69763fb36694949e65c9	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	10dd6ce53820ba26669689344d888392a0124aeecbcce2a980cd69d076dcd701
2026-08-14T15:14:54+00:00	20260814-numeracao-v7	43fbafa2ab712febd115530c996af06682ddcc3a97847f61603a3b6817b3297e	5581784fbbe7999a1b60c4870ea932da549e9643e532c035fd239296f2123e88	e74370328c9b0b5cc91fdc2654398633ae4e8fbed1544ead0867105d8935f014	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	cb9ca630ce85d12f87f91c6b884d8b1d4fedb859a9839ecf77d0a23de63ae034	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	d322b1f4d258567c3f1dcc4efcc0470cc0ec678b3e9c69763fb36694949e65c9	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	10dd6ce53820ba26669689344d888392a0124aeecbcce2a980cd69d076dcd701
2026-08-14T16:42:29+00:00	20260814-rubrica-v8	713a160f6639696458599bc170720326cde6f92e82d2638de52b2fcae0305d5c	2d463f0b36a5252b00b6bf13c17a6eb3d09fc88d4c9e54af7b4d7841907fb163	5581784fbbe7999a1b60c4870ea932da549e9643e532c035fd239296f2123e88	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	edd41b194a66158bbf68c8f611249b17bfa37dcd822f4622f1ef20af151b95d8	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	d322b1f4d258567c3f1dcc4efcc0470cc0ec678b3e9c69763fb36694949e65c9	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	10dd6ce53820ba26669689344d888392a0124aeecbcce2a980cd69d076dcd701
2026-08-14T17:03:59+00:00	20260814-export-v9	e1cc6b64bf4b99aa6d739bb98737ffbd17022b59148615a4697ab4950cb21d28	d10d81fe52870e0cc4a25a5b8232692530ec202c491037537e97a4edfd7d2f82	2d463f0b36a5252b00b6bf13c17a6eb3d09fc88d4c9e54af7b4d7841907fb163	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	18dcdbc906e295f6e04fb98961b2f9b085ca273dbec6149492557b07f3932d5e	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	d322b1f4d258567c3f1dcc4efcc0470cc0ec678b3e9c69763fb36694949e65c9	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	10dd6ce53820ba26669689344d888392a0124aeecbcce2a980cd69d076dcd701
