fase,existe,multiplicador,de,para,_leitura
1,False,,aws,aws,"nenhuma virada dentro da grade pré-registrada — resultado reportável, não ausência de resultado: a escada de perfis é discreta e o cruzamento pode não existir no intervalo declarado"
2,False,,aws,aws,"nenhuma virada dentro da grade pré-registrada — resultado reportável, não ausência de resultado: a escada de perfis é discreta e o cruzamento pode não existir no intervalo declarado"
