servidor,fase,nuvem,papel,sku,vcpu,ram,instancias,usd_mes,arquivo_fonte
app-6,1,aws,compute,c6a.large,2,4.0000,2,172.1340,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
app-6,1,aws,bloco,gp3 (900 IOPS),,,2,45.6000,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
—,1,aws,objeto,armazenamento padrão,,,1,829.4400,ver trilha
—,1,aws,egress,saída para internet,,,1,921.6000,ver trilha
—,1,aws,rede,balanceador,,,3,98.5500,ver trilha
banco-1,2,ibm,gerenciado,databases-for-mysql-4-16 ×3,4.0000,16.0000,2,913.3002,data/precos/api/ibm-databases-for-mysql-standard-br-sao-2026-08-13.json
banco-1,2,ibm,premio-gerenciado,databases-for-mysql-4-16 ×3 − bxf-4x16,,,2,524.9402,data/precos/api/ibm-is.instance-bxf-4x16-br-sao-2026-08-13.json
banco-2,2,ibm,gerenciado,databases-for-mysql-8-32 ×3,8.0000,32.0000,1,1826.6004,data/precos/api/ibm-databases-for-mysql-standard-br-sao-2026-08-13.json
banco-2,2,ibm,premio-gerenciado,databases-for-mysql-8-32 ×3 − bxf-8x32,,,1,1438.2404,data/precos/api/ibm-is.instance-bxf-8x32-br-sao-2026-08-13.json
banco-3,2,ibm,gerenciado,postgresql-isolated-8-32 ×2,6.0000,24.0000,1,870.8560,data/precos/api/ibm-databases-for-postgresql-standard-br-sao-2026-08-13.json
banco-3,2,ibm,premio-gerenciado,postgresql-isolated-8-32 ×2 − bxf-8x32,,,1,482.4960,data/precos/api/ibm-is.instance-bxf-8x32-br-sao-2026-08-13.json
banco-4,2,ibm,gerenciado,databases-for-mongodb-4-16 ×3,4.0000,16.0000,1,1030.1466,data/precos/api/ibm-databases-for-mongodb-standard-br-sao-2026-08-13.json
banco-4,2,ibm,premio-gerenciado,databases-for-mongodb-4-16 ×3 − bxf-4x16,,,1,835.9666,data/precos/api/ibm-is.instance-bxf-4x16-br-sao-2026-08-13.json
banco-5,2,ibm,compute-oracle,bxf-8x32,,,1,388.3600,data/precos/api/ibm-is.instance-bxf-8x32-br-sao-2026-08-13.json
banco-5,2,ibm,bloco,gen2-volume-10iops-tier,,,1,1630.2843,data/precos/api/ibm-is.volume-gen2-volume-10iops-tier-br-sao-2026-08-13.json
banco-6,2,ibm,gerenciado,databases-for-redis-4-16 ×2,2.0000,8.0000,1,474.2285,data/precos/api/ibm-databases-for-redis-standard-br-sao-2026-08-13.json
